,"Tabel 2.14
Perkembangan Jumlah BPR dan Kantor BPR Berdasarkan Lokasi -- Desember 2024
(Growth of Total Rural Bank and Rural Banks Offices Based on Location - December 2024)",,,,,
,Lokasi / Location,,BPR (Rural Bank),,,Total
,,,KP,KC,KPK,
,1.,Jawa Barat,  218 ,  368 ,  307 ,  893 
,2.,Banten,  52 ,  69 ,  54 ,  175 
,3.,DKI Jakarta,  28 ,  16 ,  4 ,  48 
,4.,D.I Yogyakarta,  46 ,  52 ,  109 ,  207 
,5.,Jawa Tengah,  238 ,  623 ,  863 ,"  1,724 "
,6.,Jawa Timur,  241 ,  279 ,  788 ,"  1,308 "
,7.,Bengkulu,  5 ,  7 ,  1 ,  13 
,8.,Jambi,  18 ,  8 ,  4 ,  30 
,9.,Aceh,  1 ,  - ,  10 ,  11 
,10.,Sumatera Utara,  45 ,  56 ,  46 ,  147 
,11.,Sumatera Barat,  64 ,  51 ,  72 ,  187 
,12.,Riau,  27 ,  12 ,  22 ,  61 
,13.,Kepulauan Riau,  44 ,  31 ,  8 ,  83 
,14.,Sumatera Selatan,  21 ,  18 ,  8 ,  47 
,15.,Bangka Belitung,  3 ,  4 ,  5 ,  12 
,16.,Lampung,  23 ,  37 ,  17 ,  77 
,17.,Kalimantan Selatan,  14 ,  23 ,  11 ,  48 
,18.,Kalimantan Barat,  17 ,  6 ,  8 ,  31 
,19.,Kalimantan Timur,  14 ,  13 ,  29 ,  56 
,20.,Kalimantan Tengah,  6 ,  9 ,  9 ,  24 
,21.,Kalimantan Utara,  2 ,  1 ,  8 ,  11 
,22.,Sulawesi Tengah,  6 ,  18 ,  21 ,  45 
,23.,Sulawesi Selatan,  18 ,  16 ,  8 ,  42 
,24.,Sulawesi Utara,  15 ,  29 ,  19 ,  63 
,25.,Sulawesi Tenggara,  15 ,  7 ,  2 ,  24 
,26.,Sulawesi Barat,  2 ,  1 ,  - ,  3 
,27.,Gorontalo,  2 ,  2 ,  1 ,  5 
,28.,Nusa Tenggara Barat,  19 ,  58 ,  35 ,  112 
,29.,Bali,  128 ,  62 ,  102 ,  292 
,30.,Nusa Tenggara Timur,  11 ,  10 ,  10 ,  31 
,31.,Maluku ,  1 ,  9 ,  11 ,  21 
,32.,Papua,  7 ,  18 ,  4 ,  29 
,33.,Maluku Utara,  2 ,  7 ,  3 ,  12 
,34.,Papua Barat,  3 ,  4 ,  - ,  7 
,35.,Lainnya / Others, - , - , - , - 
,             Total,,"  1,356 ","  1,924 ","  2,599 ","  5,879 "
