,,,,,,,,,,,,,,,,,,,
,"Tabel 3.18.a.
Kredit Bank Perekonomian Rakyat Berdasarkan Lokasi Bank Penyalur
(Credit of Rural Banks Based on Banks Location)
Miliar Rp (Billion Rp)",,,,,,,,,,,,,,,,,,
,Lokasi / Location,,2018,2020,2021,2022,2023,2024,,,,,,,,,,,
,,,,,,,,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agt,Sep,Okt,Nov,Des
,1.,Jawa Barat,"  12,554 ","  13,223 ","  13,961 ","  15,834 ","  16,393 ","  16,446 ","  16,740 ","  17,336 ","  17,343 ","  17,220 ","  17,293 ","  17,448 ","  17,515 ","  17,534 ","  17,565 ","  17,642 ","  17,523 "
,2.,Banten,"  3,393 ","  3,982 ","  4,096 ","  4,918 ","  5,614 ","  5,652 ","  5,678 ","  5,826 ","  5,855 ","  5,847 ","  5,865 ","  5,934 ","  5,974 ","  6,010 ","  6,054 ","  6,162 ","  6,280 "
,3.,DKI Jakarta,"  1,571 ","  2,051 ","  2,427 ","  2,995 ","  3,503 ","  3,428 ","  3,466 ","  3,559 ","  3,545 ","  3,539 ","  3,546 ","  3,561 ","  3,562 ","  3,667 ","  3,700 ","  3,725 ","  3,795 "
,4.,D.I Yogyakarta,"  4,724 ","  5,679 ","  5,805 ","  6,146 ","  6,583 ","  6,584 ","  6,643 ","  6,693 ","  6,662 ","  6,688 ","  6,707 ","  6,745 ","  6,793 ","  6,781 ","  6,774 ","  6,788 ","  6,810 "
,5.,Jawa Tengah,"  23,620 ","  28,082 ","  29,847 ","  33,363 ","  34,702 ","  34,674 ","  34,801 ","  35,074 ","  34,879 ","  34,588 ","  34,628 ","  34,675 ","  34,697 ","  34,719 ","  34,612 ","  34,583 ","  34,695 "
,6.,Jawa Timur,"  9,836 ","  10,841 ","  11,554 ","  12,774 ","  15,277 ","  15,332 ","  15,573 ","  15,843 ","  15,784 ","  15,825 ","  15,989 ","  16,113 ","  16,138 ","  16,194 ","  16,282 ","  16,380 ","  16,546 "
,7.,Bengkulu,  71 ,  74 ,  79 ,  102 ,  141 ,  144 ,  149 ,  150 ,  149 ,  147 ,  147 ,  146 ,  149 ,  147 ,  150 ,  153 ,  152 
,8.,Jambi,  687 ,  803 ,  863 ,  969 ,"  1,081 ","  1,090 ","  1,100 ","  1,119 ","  1,107 ","  1,100 ","  1,101 ","  1,109 ","  1,112 ","  1,119 ","  1,119 ","  1,135 ","  1,059 "
,9.,Aceh,  153 ,  135 ,  57 ,  48 ,  33 ,  34 ,  34 ,  34 ,  32 ,  32 ,  31 ,  31 ,  32 ,  31 ,  30 ,  30 ,  29 
,10.,Sumatera Utara,"  1,128 ","  1,205 ","  1,406 ","  1,566 ","  1,760 ","  1,758 ","  1,776 ","  1,807 ","  1,817 ","  1,829 ","  1,844 ","  1,876 ","  1,886 ","  1,910 ","  1,925 ","  1,934 ","  1,934 "
,11.,Sumatera Barat,"  1,238 ","  1,355 ","  1,369 ","  1,449 ","  1,508 ","  1,505 ","  1,500 ","  1,511 ","  1,513 ","  1,521 ","  1,530 ","  1,531 ","  1,539 ","  1,548 ","  1,481 ","  1,484 ","  1,480 "
,12.,Riau,  939 ,  954 ,"  1,028 ","  1,177 ","  1,441 ","  1,455 ","  1,476 ","  1,512 ","  1,518 ","  1,529 ","  1,548 ","  1,594 ","  1,625 ","  1,631 ","  1,627 ","  1,647 ","  1,601 "
,13.,Kepulauan Riau,"  5,094 ","  5,152 ","  5,220 ","  6,219 ","  7,458 ","  7,631 ","  7,730 ","  7,856 ","  7,941 ","  8,042 ","  8,230 ","  8,373 ","  8,466 ","  8,551 ","  8,709 ","  8,884 ","  9,042 "
,14.,Sumatera Selatan,"  1,206 ","  1,457 ","  1,474 ","  1,621 ","  1,904 ","  1,911 ","  1,942 ","  1,954 ","  1,967 ","  1,975 ","  1,981 ","  1,988 ","  2,008 ","  2,020 ","  2,039 ","  2,044 ","  2,068 "
,15.,Bangka Belitung,  94 ,  119 ,  109 ,  112 ,  137 ,  139 ,  146 ,  149 ,  148 ,  150 ,  151 ,  153 ,  153 ,  155 ,  156 ,  156 ,  159 
,16.,Lampung,"  9,111 ","  10,096 ","  10,322 ","  10,869 ","  11,769 ","  11,821 ","  11,835 ","  11,981 ","  12,029 ","  12,154 ","  12,216 ","  12,257 ","  12,322 ","  12,475 ","  12,480 ","  12,538 ","  12,736 "
,17.,Kalimantan Selatan,  360 ,  425 ,  520 ,  599 ,"  1,107 ","  1,203 ","  1,191 ","  1,186 ","  1,153 ","  1,155 ","  1,155 ","  1,151 ","  1,204 ","  1,202 ","  1,196 ","  1,263 ","  1,254 "
,18.,Kalimantan Barat,  630 ,  758 ,  977 ,"  1,123 ","  1,203 ","  1,183 ","  1,152 ","  1,180 ","  1,167 ","  1,148 ","  1,175 ","  1,160 ","  1,167 ","  1,158 ","  1,152 ","  1,127 ",  970 
,19.,Kalimantan Timur,  252 ,  241 ,  270 ,  327 ,  409 ,  368 ,  380 ,  390 ,  423 ,  435 ,  444 ,  448 ,  454 ,  454 ,  462 ,  466 ,  449 
,20.,Kalimantan Tengah,  436 ,  561 ,  826 ,"  1,534 ","  1,830 ","  1,811 ","  1,862 ","  1,881 ","  1,862 ","  1,845 ","  1,814 ","  1,798 ","  1,806 ","  1,798 ","  1,811 ","  1,862 ","  1,975 "
,21.,Kalimantan Utara,  - ,  39 ,  56 ,  66 ,  94 ,  93 ,  96 ,  104 ,  104 ,  108 ,  115 ,  119 ,  127 ,  129 ,  130 ,  129 ,  131 
,22.,Sulawesi Tengah,"  2,165 ","  2,288 ","  2,224 ","  2,212 ","  2,131 ","  2,132 ","  2,135 ","  2,147 ","  2,159 ","  2,173 ","  2,186 ","  2,203 ","  2,216 ","  2,228 ","  2,233 ","  2,226 ","  2,221 "
,23.,Sulawesi Selatan,"  2,226 ","  2,268 ","  2,384 ","  2,537 ","  2,822 ","  2,836 ","  2,855 ","  2,889 ","  2,916 ","  2,947 ","  2,982 ","  3,018 ","  3,032 ","  3,052 ","  3,083 ","  3,093 ","  3,097 "
,24.,Sulawesi Utara,  977 ,"  1,329 ","  1,351 ","  1,536 ","  1,518 ","  1,529 ","  1,502 ","  1,498 ","  1,489 ","  1,486 ","  1,485 ","  1,511 ","  1,536 ","  1,564 ","  1,580 ","  1,598 ","  1,617 "
