,"Tabel 2.8
Komposisi DPK BPR Berdasarkan Lokasi Penghimpunan - Desember 2024
(Composition of Third Party Funds of Rural Banks Based on Location - December 2024)
Nilai DPK dalam Miliar Rupiah (Billion Rp) dan Pangsa Terhadap DPK dalam Persentase (%)",,,,,
,Lokasi / Location,,"Tabungan
(Saving Deposits)","Deposito
(Time Deposits)","Total DPK 
(Total of Third Party Funds)","Pangsa Thd Total DPK (%) 
(Portion to Total Third Party Funds (%)"
,1.,Jawa Barat,  5.256 ,  11.546 ,  16.801 ,"11,71"
,2.,Banten,  813 ,  4.253 ,  5.066 ,"3,53"
,3.,DKI Jakarta,  337 ,  4.286 ,  4.622 ,"3,22"
,4.,D.I Yogyakarta,  2.465 ,  4.662 ,  7.127 ,"4,97"
,5.,Jawa Tengah,  17.360 ,  19.933 ,  37.293 ,"26,00"
,6.,Jawa Timur,  4.665 ,  11.522 ,  16.188 ,"11,28"
,7.,Bengkulu,  51 ,  74 ,  125 ,"0,09"
,8.,Jambi,  153 ,  791 ,  944 ,"0,66"
,9.,Aceh,  18 ,  11 ,  29 ,"0,02"
,10.,Sumatera Utara,  917 ,  1.078 ,  1.994 ,"1,39"
,11.,Sumatera Barat,  902 ,  671 ,  1.572 ,"1,10"
,12.,Riau,  619 ,  793 ,  1.413 ,"0,98"
,13.,Kepulauan Riau,  1.264 ,  7.983 ,  9.247 ,"6,45"
,14.,Sumatera Selatan,  320 ,  1.162 ,  1.482 ,"1,03"
,15.,Bangka Belitung,  38 ,  114 ,  151 ,"0,11"
,16.,Lampung,  1.317 ,  6.227 ,  7.544 ,"5,26"
,17.,Kalimantan Selatan,  253 ,  856 ,  1.109 ,"0,77"
,18.,Kalimantan Barat,  390 ,  956 ,  1.346 ,"0,94"
,19.,Kalimantan Timur,  143 ,  205 ,  347 ,"0,24"
,20.,Kalimantan Tengah,  385 ,  1.037 ,  1.422 ,"0,99"
,21.,Kalimantan Utara,  56 ,  44 ,  100 ,"0,07"
,22.,Sulawesi Tengah,  133 ,  941 ,  1.074 ,"0,75"
,23.,Sulawesi Selatan,  352 ,  2.048 ,  2.400 ,"1,67"
,24.,Sulawesi Utara,  363 ,  1.351 ,  1.714 ,"1,19"
,25.,Sulawesi Tenggara,  156 ,  119 ,  275 ,"0,19"
,26.,Sulawesi Barat,  93 ,  24 ,  117 ,"0,08"
,27.,Gorontalo,  13 ,  23 ,  37 ,"0,03"
,28.,Nusa Tenggara Barat,  880 ,  695 ,  1.575 ,"1,10"
,29.,Bali,  4.525 ,  12.379 ,  16.904 ,"11,78"
,30.,Nusa Tenggara Timur,  258 ,  407 ,  664 ,"0,46"
,31.,Maluku ,  176 ,  1.479 ,  1.655 ,"1,15"
,32.,Papua,  223 ,  636 ,  859 ,"0,60"
,33.,Maluku Utara,  30 ,  84 ,  115 ,"0,08"
,34.,Papua Barat,  36 ,  103 ,  139 ,"0,10"
,35.,Lainnya / Others,  - ,  - ,  - ,"0,00"
,             Total,,  44.960 ,  98.493 ,  143.453 ,"  100,00 "
